ï»¿web-scraper-order,web-scraper-start-url,reviewText,location,date,reviewTitle,rating,reviewsWritten,numberThanks,username,reviewedWhen
1557099792-742,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or80-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,"remember your walls ticket also gains you entry here . really interesting with great views of the old town . lovely inlet just behind , where the locals appear to swim . recommended",southampton,2018-08-01T00:00:00Z,fort,5,34,16,bald130,"Reviewed August 8, 2018"
1557099679-310,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or510-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,we popped in here before going around the city itself on our first day. wasn't sure what to expect but it did offer a wonderful grandstand to look down on the cove and the houses in the little bay. it was a bit 'empty' though...more,"Steyning, United Kingdom",2016-03-01T00:00:00Z,worth a quick look,4,22,6,Adrian H,"Reviewed April 4, 2016"
1557099729-502,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or320-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,we went up the fort because it was included in the ticket for the walled-city. after much climbing (the stairs)...we reached the top and the view from there was awesome! we could see the clear water below. worth going.,penang,2016-12-01T00:00:00Z,awesome,4,119,39,rohizani,"Reviewed December 22, 2016"
1557099649-199,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or620-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,die hard game of thrones fans - this is a must to visit. it's worth the climb and the view is unbelievable!  find a quite corner and peek thru the port hole windows and see the red roof houses of dubrovnik!  climb the steps and...more,"San Francisco, California",2015-06-01T00:00:00Z,"game of thrones "" fan"" tastic moment",5,88,24,AngelwWings,"Reviewed July 20, 2015"
1557099633-133,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or680-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,"i agree with the reviews that say you could do with some explanation about the history of the fort - it clearly had an important job to do but you had to make that up in your own head!

as with the city walls, the...more","Gloucester, United Kingdom",2015-02-01T00:00:00Z,worth the steps,5,113,83,MrsV-from-Pendock,"Reviewed February 19, 2015"
1557099731-508,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or310-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,"a wonderful view from the top of lovrenjac. during the summer some events are take place there. worth to visit during some concert night or just cool down inside, during hot day :-)","Bratislava, Slovakia",2016-08-01T00:00:00Z,must have place to visit,5,40,13,369antonn,"Reviewed March 23, 2017"
1557099802-779,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or40-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,"well worth a visit, free entry with your city walls ticket. i think you have 3 days to use the city wall ticket but don't quote me on that. amazing views and has been used for filming got. it's a lot of steps again to...more","Doncaster, United Kingdom",2018-10-01T00:00:00Z,amazing views,5,24,5,555hailey84,"Reviewed October 7, 2018"
1557099720-467,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or350-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,"after a climb up the steep stony steps, you'll either have to pay for entry to the fort or present the ticket used to walk the old city walls of dubrovnik; so worth hanging onto the ticket. 

would recommend visiting the fort after leaving the...more","Biggleswade, United Kingdom",2016-10-01T00:00:00Z,a climb with a payoff,4,4,1,tomcorbett3,"Reviewed October 18, 2016"
1557099633-138,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or680-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,"not obvious to find the route to the fort. access alongside the market area down a slope where the buses stop at the pile gate, you will see a sign high up on the wall at the end of the slope. the climb up is...more","Kirknewton, United Kingdom",2014-10-01T00:00:00Z,well worth a visit,5,179,70,DaveMatt7,"Reviewed November 4, 2014"
1557099729-499,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or320-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,allow 30-45 minutes for this one. it is quite empty inside so mainly views on the walled city is the main attraction (definitely worth the climb).,"Belfast, United Kingdom",2016-12-01T00:00:00Z,good but simple,3,211,34,marcin w,"Reviewed January 8, 2017"
1557099607-34,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or780-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,lovrijenac is included in the city walls ticket although a lot of people seem not to realise which means there are not many people there. the walk up is not difficult and it gives a really nice view of the old town and city walls...more,"Perth, Australia",2013-08-01T00:00:00Z,nice to find somewhere in dubrovnik not overcrowded with tourists,4,59,51,Carly H,"Reviewed August 6, 2013"
1557099731-509,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or310-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,"if you want a view point to look back to the old town, this is the place to go too plus it's less crowded.",null,2016-08-01T00:00:00Z,great view to the old town,5,45,5,Dara S,"Reviewed March 19, 2017"
1557099636-144,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or670-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,"it makes for a nice walk up here, but there is no exhibit or interior to really investigate, just spectacular views from the tower terrace.  it is included in the ticket you buy for the city walls so you might as well.  it's a little...more","New York City, New York",2015-04-01T00:00:00Z,this is king's landing from game of thrones,4,1413,659,flaneur40,"Reviewed April 11, 2015"
1557099652-212,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or610-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,"if you walk out of the pile gate (north side of old town) and then head down towards the water by way of ulica pilarna you can't miss the stairs to the castle. once up there, you'll see some great views of the old town...more","San Francisco, California",2015-04-01T00:00:00Z,great views of the city walls,5,197,99,993syn,"Reviewed August 2, 2015"
1557099618-81,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or740-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,"you can get into the fort for free if you've already bought a ticket for the city walls.  we were surprised it was so quite - only about 4  other people when we were there.  ok, it's nothing special in itself, but you get a...more","Reading, United Kingdom",2014-06-01T00:00:00Z,great view of the city,3,6,3,AnneMcF2014,"Reviewed July 6, 2014"
1557099768-644,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or170-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,"as long as you visit it in the same day, so we did the walls walk in the morning had lunch and headed over to the fort, through pile gate and the back streets. on the way back we headed down the stairs around to...more",Sydney,2017-12-01T00:00:00Z,included in the walls ticket,5,2497,919,JnVSydney,"Reviewed December 14, 2017"
1557099697-377,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or440-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,it was a lot of steps to get up to see this place.  was disappointed with the actual place.  more could be made of it.  there was a toilet up there and the view was good but otherwise nothing to speak of.,"London, United Kingdom",2016-06-01T00:00:00Z,lot of steps,3,83,38,dorsg,"Reviewed June 27, 2016"
1557099729-497,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or320-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,if you are a got fan then you would love this place of red keep. you must do this place as it's included in the dubrovnik city walls tickets. it's a long walk and stairs so carry lots of water. the view of the walls...more,"Amsterdam, The Netherlands",2016-05-01T00:00:00Z,the best view of the city and got location!,5,351,83,siddhantkeshwani,"Reviewed January 28, 2017"
1557099720-464,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or350-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,great view of the city and was our first stop before entering the city. interesting place with very thick walls.,"Felixstowe, United Kingdom",2016-06-01T00:00:00Z,great view of the city,5,761,149,Felixstowe2016,"Reviewed October 21, 2016"
1557099739-540,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or280-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,"located on the western side of the old town, anyone who watch game of thrones will know this is the famous fliming location for it. it is also one of the most impressive locations in dubrovnik. built upon a 37m high sheer rock overlooking the...more","Singapore, Singapore",2017-05-01T00:00:00Z,game of thrones ~,5,442,152,PEili K,"Reviewed May 20, 2017"
1557099734-516,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or300-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,it is close to the old town. in the inner part there is not much to see. but the exterior is very nice. there are cannons and has a very nice view of the old city. worth a visit. if you visit the great wall...more,"Skopje, Republic of Macedonia",2017-04-01T00:00:00Z,great view from the top,4,177,77,Spase14,"Reviewed April 22, 2017"
1557099749-576,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or240-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,fort lovrijenac occupies this tantalizing position overlooking the old town but whereas the old town has life occurring within its walls the fort is essentially moribund.  we had entrance to it via the wall walk ticket and we accessed fort l by taking the walkway...more,"Berkeley, California",2017-05-01T00:00:00Z,you go for the views,3,623,316,flashncrash,"Reviewed August 10, 2017"
1557099702-400,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or420-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,"the ticket gives you access to the fort, getting to this takes you into the quaint bright back streets and cove. inside the views are again exceptional. spot the kolorina cove and you'll want to go and have a drink, even a swim, and view...more","Plymouth, United Kingdom",2016-06-01T00:00:00Z,don't loose your city walls ticket,4,257,112,JagerPlymouth,"Reviewed July 13, 2016"
1557099741-549,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or270-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,"not much to it.  you climb up and walk around the ""balconies."" go to get some good views and take some pictures.  you might learn more if you are on a tour.","Tarbes, France",2017-06-01T00:00:00Z,not much to it.  go to get some good views,4,174,63,WorldTraveler919,"Reviewed June 7, 2017"
1557099797-759,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or60-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,a must visit alongside the old town.  great to wander round the fortress whilst trying to recognise film sets from game of thrones.  fantastic views from the walls.,"Isle of Portland, United Kingdom",2018-05-01T00:00:00Z,excellent view of the old town,5,124,42,spudDorset,"Reviewed September 9, 2018"
1557099644-174,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or640-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,"the ticket for the old city walls also allows you entry to fort lovrijenac. the way to fort lovrijenac is a game of thrones (got) fanâ€™s dream. you will walk past pile harbor,  where myrcella sets sail for dorne(s2, episode 6, the old gods and...more","Oxon Hill, Maryland",2015-05-01T00:00:00Z,getting there is like walking through a game of thrones set,5,388,372,CCC_wanderlust,"Reviewed June 19, 2015"
1557099786-718,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or100-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,it was only through reading our guidebook that we were aware that our city walls ticket (in fact all part of our day pass) also allowed us into this fort. it is well worth climbing up to and for game of thrones fans essential viewing....more,"Palmerston North, New Zealand",2018-06-01T00:00:00Z,can use the city walls ticket for entry,5,1323,335,Sus1952,"Reviewed June 30, 2018"
1557099707-422,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or400-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,"if you are a game of thrones fan you must go this place !
beside that, the view of the old town is amazing !","Rio de Janeiro, RJ",2016-07-01T00:00:00Z,beautiful view,5,14,0,bdeburger,"Reviewed August 1, 2016"
1557099770-655,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or160-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,this fort is magnificent. this is where games of throne is filmed and in the old town . the entrance to the fort is included in the walls ticket  but i by the time you have climbed the ancient walls probably miss this attraction. again...more,"London, United Kingdom",2018-02-01T00:00:00Z,fist class stoppage point,5,212,88,sdk11_13,"Reviewed February 24, 2018"
1557099694-363,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or450-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,the steps mean this is best done on a cooler day and unlike me without a baby buggy!! it really needs some interpretation!,"Clitheroe, United Kingdom",2016-06-01T00:00:00Z,hard work but great views,4,14,1,Jackspees,"Reviewed June 24, 2016"
1557099723-481,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or340-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,"i wanted to visit this fort because i am a game of thrones fan, it was a steep climb up lots of stairs but totally worth it. we sat at the top for ages just watching people and boats pass by. great for photos!","palgrave, norfolk  United Kingdom",2016-10-01T00:00:00Z,amazing views,5,62,21,Louise P,"Reviewed October 24, 2016"
1557099626-104,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or710-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,"it's a bit of a hike up, but well worth the view of dubrovnik and its walls. if you're a game of thrones fan, you will recognize this shot, taken so many times of king's landing. 
there isn't much to the 'fort', but it's nice...more","Surrey, Canada",2014-08-01T00:00:00Z,great view of dubrovnik!,4,178,123,STSMark,"Reviewed September 19, 2014"
1557099684-323,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or490-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,"i inadvertently picked this up after doing the walls, otherwise i wouldn't have paid the entry. but in top of the fortress does provide some pretty cool views of the city",null,2016-05-01T00:00:00Z,free with your wall walk ticket,4,170,46,mickb664,"Reviewed May 16, 2016"
1557099744-557,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or260-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,i went in here as my ticket for the city walls gives you free entrance into this as well. if i had paid the 50 kunas just to go in here then i would have been disappointed. it gives nice views over to the dubrovnik...more,"London, United Kingdom",2017-06-01T00:00:00Z,great views but no information,2,576,102,B T,"Reviewed July 3, 2017"
1557099780-694,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or120-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,"this is included in your ticket to the walls, but only if you go within 3 days. otherwise it costs 50 kn to go in. you can get some superb views of the old town but just climbing as far as the ticket kiosk (which...more","Bristol, United Kingdom",2018-06-01T00:00:00Z,the views!,4,1170,347,Wombling_Free_7548,"Reviewed June 9, 2018"
1557099649-198,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or620-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,"the entrance to the fort is included in the price of the city walls ticket, and it is well worth paying a visit.

once at the top, the views are stunning, and we didn't have to battle with hundreds of other tourists to take pictures....more",null,2015-07-01T00:00:00Z,escape the hustle and bustle.,5,23,17,Cayenne2,"Reviewed July 27, 2015"
